stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\danis\source\repos\ConsoleApplication1\x64\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.34556] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34577] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34599] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34609] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.34620] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34631] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.34645] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34657] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34669] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34684] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34695] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34705] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34717] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34729] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.34742] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34768] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.34777] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34787] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34799] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34814] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34823] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34832] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34845] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34854] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.34864] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34879] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.34887] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34897] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34910] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34924] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35011] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35052] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35073] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35096] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35112] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35126] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35152] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35169] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35190] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35210] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35228] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35245] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35268] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35286] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35307] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35347] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35527] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35551] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35571] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35588] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35605] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35622] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35638] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35654] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35671] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35687] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.35704] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35721] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35738] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35755] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35773] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35790] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.35808] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.35826] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.35976] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.35996] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36013] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36028] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36113] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.36139] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36159] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.36211] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36235] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.36254] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36273] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36290] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36309] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36330] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36353] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.36370] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36395] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.36412] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36435] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.36453] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36477] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36493] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36518] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36534] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36556] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.36576] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36592] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.36614] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36635] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.36650] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36676] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36695] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36714] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36735] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36756] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.36790] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36812] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.36832] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.36864] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.36891] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36920] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36947] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.36976] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.36994] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37021] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.37041] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37068] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.37096] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37124] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.37142] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.37176] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.37195] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.37213] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.37228] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37251] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.37270] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37289] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.37302] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37321] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.37343] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.37364] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.37380] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.37397] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.37416] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37455] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.37493] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37505] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.37514] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37531] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.37542] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.37563] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.37575] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.37584] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.37594] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37611] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.37618] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37629] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.37651] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.37663] Score is : 589
